class_id,display_name,warhead_fragment_smiles,mechanism,reactive_atom_smarts,leaving_group,precedent,structure_status,structure_source,notes,adduct_attachment_smarts,adduct_confidence,has_leaving_group,adduct_saturates_alkene,chembl_substructure_query,adduct_class
chloroacetamide,Chloroacetamide,[*]C(=O)CCl,sn2_displacement,[CH2][Cl],chloride,anchored_verified,VERIFIED,"derived from verified Sulfopin SMILES (Dubiella 2021, PDB 6VAJ)",The reference chemotype. Measured k = 0.028 M-1 s-1 (Reddi 2023 Fig 5C).,[CH3][CX3](=O)[NX3],VERIFIED,True,False,CC(=O)CCl,acetamide_adduct
sulfamate_acetamide,Sulfamate acetamide,[*]C(=O)COS(=O)(=O)Nc1ccccc1,sn2_displacement,[CH2][OX2][SX4](=O)(=O),sulfamate,anchored_verified,VERIFIED,Reddi 2023 JACS 10.1021/jacs.2c08853 Figure 5A (4b-4g),Tunable: the N-substituent sets k across ~0.005-0.068 M-1 s-1.,[CH3][CX3](=O)[NX3],VERIFIED,True,False,CC(=O)COS(=O)(=O)N,acetamide_adduct
sulfonate_acetamide,Sulfonate acetamide (mesylate),[*]C(=O)COS(=O)(=O)C,sn2_displacement,[CH2][OX2][SX4](=O)(=O),sulfonate,anchored_verified,VERIFIED,Reddi 2023 Figure 5A (compound 4a),"Labels Pin1 poorly (~17%) despite high k — a reactivity anchor, not a good binder.",[CH3][CX3](=O)[NX3],VERIFIED,True,False,CC(=O)COS(=O)(=O)C,acetamide_adduct
bdhi_c5,BDHI attached at C5,[*]C1CC(Br)=NO1,sn2_ring_opening,[CX3]([Br])=[NX2],bromide,anchored_verified,DESIGNED_UNTESTED,warhead class PubChem CID 21983498; attachment at C5 follows the usual literature elaboration of BDHI fragments,"C3 bears Br and is the attack site, so attachment must be C4 or C5. C5 is the literature-conventional position. Competing hypothesis: bdhi_c4.",[CH1X3]=[NX2][OX2],INFERRED,True,False,BrC1=NOCC1,bdhi_c5
bdhi_c4,BDHI attached at C4,[*]C1C(Br)=NOC1,sn2_ring_opening,[CX3]([Br])=[NX2],bromide,anchored_verified,DESIGNED_UNTESTED,warhead class PubChem CID 21983498; attachment at C4,"Alternative to bdhi_c5. Places the core adjacent to the reactive carbon, which may hinder Cys approach — exactly what the 5b gate and docking will show.",[CH1X3]=[NX2][OX2],INFERRED,True,False,BrC1=NOCC1,bdhi_c4
naphthoquinone_c2,"1,4-naphthoquinone attached at C2",[*]C1=CC(=O)c2ccccc2C1=O,michael_addition,[CX3]=[CX3][CX3]=O,none_addition,anchored_verified,DESIGNED_UNTESTED,juglone and KPT-6566 verified in anchors_2; KPT-6566 carries a thioether at this ring position,"Michael acceptor. The hydroquinone adduct re-oxidizes to the 2-thio-1,4-naphthoquinone, so the sulfur sits on an sp2 carbon and the alkene form IS the product (D0030).",[CH1X3]=[CX3][CX3]=O,VERIFIED,False,False,O=C1C=CC(=O)c2ccccc12,naphthoquinone_c2
naphthoquinone_benzo,"1,4-naphthoquinone attached on the benzo ring",[*]c1ccc2C(=O)C=CC(=O)c2c1,michael_addition,[CX3]=[CX3][CX3]=O,none_addition,anchored_verified,DESIGNED_UNTESTED,"juglone is 5-hydroxy-1,4-naphthoquinone — substitution on the benzo ring is precedented","Michael acceptor. The hydroquinone adduct re-oxidizes to the 2-thio-1,4-naphthoquinone, so the sulfur sits on an sp2 carbon and the alkene form IS the product (D0030).",[CH1X3]=[CH1X3][CX3]=O,VERIFIED,False,False,O=C1C=CC(=O)c2ccccc12,naphthoquinone_benzo
acrylamide,Acrylamide,[*]C(=O)C=C,michael_addition,[CX3]=[CX3][CX3]=O,none_addition,exploratory,VERIFIED,"T_3 expert-chosen warhead (PI, 2026-07-27). The PARENT acrylamide still has no Pin1 precedent, but the class does: Ieda 2019 (PMID 30585173) reports an aryl-substituted member (cinnamamide, ChEMBL4467081) with an ESI-MS-confirmed Cys113 adduct, IC50 3.2 uM. Recorded 2026-07-30 from a systematic ChEMBL2288 + literature sweep; supersedes the earlier 'NO validated precedent' note.","Michael acceptor. Thiol addition gives the SATURATED 3-thio-propanamide; no re-aromatization is available, so the adduct form is the propanamide (D0030).",[CH3][CH2][CX3](=O)[NX3],VERIFIED,False,True,C=CC(=O)N,acrylamide
snar_chloroazine,SNAr chloro-azine,[*]c1nc(Cl)ncc1[N+](=O)[O-],snar_displacement,[c]([Cl])[n],chloride,anchored_verified,VERIFIED,Tian 2025 — 2-chloro-5-nitropyrimidine with an X-ray-confirmed Cys113 adduct; class recorded from the anchor in pin1_reference_binders_2.csv,"2-chloro-5-nitropyrimidin-4-yl: attachment at C4, chlorine retained at C2 (the SNAr leaving group), nitro at C5 activating the ring. An earlier version of this row omitted the chlorine entirely and the warhead-validity gate correctly killed all 198 products. Aryl chloride displaced by SNAr, NOT a CH2-Cl. Mechanistically distinct from chloroacetamide and was initially misassigned to it, which produced a dock with no matching reactive atom. The SMARTS requires a ring nitrogen adjacent to the C-Cl so plain chlorobenzenes do not match.",[cH]1:[n]:[c]([NX3]):[c]([N+](=O)[O-]):[c]:[n]:1,VERIFIED,True,False,Clc1ncc([N+](=O)[O-])cn1,snar_chloroazine
snar_chloroazine_general,"SNAr chloro-azine (general, class test only)",UNRESOLVED,snar_displacement,[c]([Cl])([n])[n],chloride,anchored_verified,VERIFIED_CLASS_ONLY,"Decoy-side class test added 2026-07-30. The narrow snar_chloroazine attachment SMARTS hard-codes a pyrimidine bearing BOTH an amine and a nitro -- it describes Tian 6a specifically, so all 175 other chloroazines in the ChEMBL pool failed the adduct check and the class had 3 decoys against a gate minimum of 10.","SEPARATE FROM snar_chloroazine ON PURPOSE, following the precedent set for naphthoquinone: the library's classes are T_4's ENUMERATION units, while a decoy has to match the active's CHEMISTRY. Generalising the shared class instead would have made 30 of T_4's 198 snar products degenerate in their attachment site. Chlorine flanked by two ring nitrogens is SNAr-activated on the ring nitrogens alone; the nitro raises the rate, it does not create the mechanism.",[c;R]([n;R])[n;R],VERIFIED,True,False,Clc1ncccn1,snar_chloroazine
