tool_or_paper,category,citation,doi_or_id,open_source,license_or_access,what_it_does_differently,published_as_better,would_help_here,priority
DiffSBDD,sbdd_diffusion,"Schneuing et al., Nat Comput Sci 2024",10.1038/s43588-024-00737-x,yes,MIT (arneschneuing/DiffSBDD),equivariant diffusion conditioned on pocket atoms; incumbent T_1 engine,baseline,incumbent,in_use
TargetDiff,sbdd_diffusion,"Guan et al., ICLR 2023",arXiv:2303.03543,yes,MIT (guanjq/targetdiff),non-autoregressive SE(3)-equivariant joint continuous coords + discrete types,"yes - beats Pocket2Mol/DiffSBDD on CrossDocked Vina",no - Vina objective measured at chance here (D0041),busywork
DecompDiff,sbdd_diffusion,"Guan et al., ICML 2023",arXiv:2403.07902,yes,MIT (bytedance/DecompDiff),decomposed arm/scaffold priors + bond diffusion + validity guidance,yes - best Vina in its cohort,no - same objective,busywork
MolCRAFT,sbdd_bayesian_flow,"Qu et al., ICML 2024",arXiv:2404.12141,yes,MIT (AlgoMole/MolCRAFT),Bayesian flow network in continuous parameter space; unifies continuous+discrete,"yes - better Vina AND lower strain energy",marginal - only the strain claim is relevant,low
PocketFlow,sbdd_autoregressive_flow,"Jiang et al., Nat Mach Intell 2024",10.1038/s42256-024-00808-8,yes,GPL (Saoge123/PocketFlow),chemistry-aware priors (valence/geometry); rare EXPERIMENTAL validation on HAT1 and BRD4,yes + wet-lab confirmed hits,"no for Pin1 - deep pockets, but the wet-lab validation is the right standard",low
Lingo3DMol,sbdd_language_model,"Feng et al., Nat Mach Intell 2024",10.1038/s42256-023-00775-6,yes,Apache-2.0 (stonewiseAIDrugDesign/Lingo3DMol),fragment-SMILES language model + non-covalent interaction prior,yes on CrossDocked,no - same objective,busywork
DiffDec,sbdd_rgroup_decoration,"Xie et al., JCIM 2024",10.1021/acs.jcim.3c01727,yes,MIT (biomed-AI/DiffDec),3D multi-R-group decoration by diffusion; the 3D analogue of T_3's LibInvent task,yes vs DeLinker/3D baselines,marginal - only if T_3 needs 3D-aware decoration,low
Pocket2Mol,sbdd_autoregressive,"Peng et al., ICML 2022",arXiv:2205.07249,yes,MIT (pengxingang/Pocket2Mol),equivariant GNN + geometric vector perceptron; no MCMC sampling,yes vs 3DSBDD/AR,no,busywork
ResGen,sbdd_autoregressive,"Zhang et al., Nat Mach Intell 2023",10.1038/s42256-023-00712-7,yes,MIT (HaotianZhangAI4Science/ResGen),multiscale hierarchical autoregression; ~8x faster,"speed yes, quality marginal",no,busywork
3DSBDD (AR),sbdd_autoregressive,"Luo et al., NeurIPS 2021",arXiv:2203.10446,yes,MIT (luost26/3D-Generative-SBDD),original atom-by-atom pocket-conditioned autoregressive model,superseded,no,busywork
TacoGFN,sbdd_gflownet,"Shen et al., TMLR 2024",arXiv:2310.03223,yes,MIT,GFlowNet samples proportional to reward using a fast docking-score PROXY,yes on speed + Vina,no - explicitly optimizes a docking proxy,busywork
OMTRA,sbdd_recent_preprint,"arXiv preprint 2025",arXiv:2512.05080,unclear,preprint,multi-task SBDD; claims native-like interactions 37% more often than next best,claimed - unreviewed,unknown - post-cutoff preprint,watch
SculptDrug,sbdd_recent_preprint,"arXiv preprint 2025",arXiv:2511.12489,unclear,preprint,spatial condition-aware Bayesian flow,claimed - unreviewed,unknown,watch
EvoEGF-Mol,sbdd_recent_preprint,"arXiv preprint 2026",arXiv:2601.22466,unclear,preprint,geodesic flow; claims 98.97% clash-free / 97.87% energy-valid poses,claimed - unreviewed,"only the plausibility claim matters, and PoseBusters tests it directly",watch
PoseCheck,evaluation_critique,"Harris et al., MLSB 2023",arXiv:2308.07413,yes,MIT (cch1999/posecheck),measures steric clashes + strain energy + interaction profiles of GENERATED poses,"n/a - it is the critique: SBDD models produce unrealistic poses",YES - diagnose existing T_1 poses,DO
PoseBusters,evaluation_critique,"Buttenschoen Morris Deane, Chem Sci 2024",10.1039/D3SC04185A,yes,BSD (maabuu/posebusters),geometry + chemistry validity checks on docked/generated poses,n/a - critique,YES - already installed in dwi_cheminf,DO
GenBench3D,evaluation_critique,"Baillif et al., J Cheminform 2025",arXiv:2407.04424,yes,MIT,benchmark that re-ranks SBDD models once conformation quality is enforced,n/a - critique,useful framing for the model-choice question,read
CrossDocked2020,training_data,"Francoeur et al., JCIM 2020",10.1021/acs.jcim.0c00411,yes,CC-BY,the shared training/test set behind nearly every model above; 30% seq-id splits leak,n/a,"read to understand WHY all these models share one failure mode",read
Docking benchmark critique,evaluation_critique,"Cieplinski et al., JCIM 2023",10.1021/acs.jcim.2c01355,n/a,paywalled,shows docking-score optimization yields large lipophilic low-QED molecules,n/a - critique,"YES - this is D0043's mechanism, published",DO
Scoring function comparison,evaluation_critique,"Thomas et al., J Cheminform 2021",10.1186/s13321-021-00516-0,yes,CC-BY,structure- vs ligand-based scoring for generative optimization; GPCR case study,n/a,YES - direct evidence a ligand-based scorer can beat docking as a generative objective,DO
Failure modes in molecule optimization,evaluation_critique,"Renz et al., Drug Discov Today Technol 2019",10.1016/j.ddtec.2020.09.003,n/a,paywalled,stronger optimizers exploit oracle flaws harder,n/a,YES - the argument against adding a GA or RL before fixing the objective,DO
Synthesizability of generated molecules,evaluation_critique,"Gao & Coley, JCIM 2020",10.1021/acs.jcim.0c00174,n/a,paywalled (PMID 32250616),generative outputs are frequently not synthesizable; SA score is a weak proxy,n/a,YES - the wet-lab obtainability argument,DO
GB-GA,genetic_algorithm,"Jensen, Chem Sci 2019",10.1039/C8SC05372C,yes,MIT (jensengroup/GB-GA),graph-based crossover/mutation GA; no ML at all,"yes - tops many GuacaMol goal-directed tasks",NO - a better optimizer of a broken objective is worse,avoid_for_now
mol_ga,genetic_algorithm,"Tripp & Hernandez-Lobato, 2023",arXiv:2310.09267,yes,MIT (AustinT/mol_ga),clean GA reference implementation; proposes the 'GA criterion' for peer review,"yes - beats many deep methods on PMO",NO - same reason,avoid_for_now
STONED-SELFIES,genetic_algorithm,"Nigam et al., Chem Sci 2021",10.1039/D1SC00231G,yes,Apache-2.0 (aspuru-guzik-group/stoned-selfies),SELFIES string mutation; no ML; strong at interpolation/chemical-space paths,"partially - good explorer, weak optimizer",no,avoid_for_now
PMO benchmark,benchmark,"Gao et al., NeurIPS 2022",arXiv:2206.12411,yes,MIT (wenhao-gao/mol_opt),sample-efficiency benchmark; REINVENT ranks top overall,n/a,"read - it says the RL you ALREADY OWN is best-in-class",read
GuacaMol,benchmark,"Brown et al., JCIM 2019",10.1021/acs.jcim.8b00839,yes,MIT,goal-directed + distribution-learning benchmark where GB-GA topped many tasks,n/a,read,read
Pharmit,pharmacophore,"Sunseri & Koes, NAR 2016",10.1093/nar/gkw287,yes,dual BSD/GPL (dkoes/pharmit) + free web server,interactive pharmacophore + shape screening over MolPort/ChemSpace/ZINC (PURCHASABLE),n/a,"YES - orthogonal to docking, gate-testable, hits are buyable",DO
Pharmer,pharmacophore,"Koes & Camacho, JCIM 2011",10.1021/ci200097m,yes,BSD/GPL,the exact sub-linear pharmacophore search engine under Pharmit,n/a,background for Pharmit,read
pmapper / psearch,pharmacophore,"Polishchuk group, Molecules 2019",10.3390/molecules24234118,yes,BSD (DrrDom/pmapper; DrrDom/psearch),3D pharmacophore signatures + ligand-based model building - SAME LAB AS CReM,n/a,YES - integrates with the CReM stack already pinned in T_2,DO
LigandScout,pharmacophore,"Wolber & Langer, JCIM 2005",10.1021/ci049885e,NO,commercial (Inte:Ligand),structure-derived pharmacophore models with a polished GUI,n/a,"no - Pharmit/pmapper give the same signal for free",skip
Align-it,shape_pharmacophore,"Taminau et al., J Mol Graph Model 2008",10.1016/j.jmgm.2008.04.003,yes,GPL (silicos-it/align-it),pharmacophore alignment/scoring; classic open tool,n/a,optional adjunct,low
V-SYNTHES,ultra_large_search,"Sadybekov et al., Nature 2022",10.1038/s41586-021-04220-9,partly,"code academic; requires ICM (Molsoft, commercial)",synthon-based hierarchical docking of REAL Space; docks <0.1% of the library,"YES - 33% prospective hit rate, 14 submicromolar (CB2)",method yes / licence barrier,conditional
V-SYNTHES2,ultra_large_search,"npj Drug Discovery 2026",10.1038/s44386-026-00053-6,partly,same ICM dependency,automated V-SYNTHES over 36B REAL Space; validated on cPLA2 and AT2R,yes - prospective,same,conditional
Chemical space docking,ultra_large_search,"Beroza et al., Nat Commun 2022",10.1038/s41467-022-33981-8,no,Pfizer internal,synthon docking over combinatorial space; independent confirmation of the V-SYNTHES idea,yes,read as evidence the approach is real,read
SmallWorld / Arthor,ultra_large_search,"NextMove Software; sw.docking.org, arthor.docking.org",n/a,free web service,no licence needed,similarity + substructure search over Enamine REAL and other catalogues in seconds,n/a,"YES - cheapest route from a shortlist to an ORDERABLE compound",DO
Enamine REAL Space,compound_source,"Enamine; ~48B on-demand (2025)",n/a,no,commercial catalogue,on-demand synthesis space with ~80% success and ~3-4 week delivery,n/a,YES - the compounds are the deliverable,DO
Enamine covalent libraries,compound_source,"Enamine covalent collections",n/a,no,commercial catalogue,"cysteine-focused fragments 3,200; covalent fragment library 8,480 (2,240 acrylamide + 1,360 chloroacetamide); acrylamide 4,160; chloroacetamide 1,200",n/a,"YES - warhead-matched, IN STOCK, matches T_3 acrylamide and T_4 classes",DO
SpaceLight / infiniSee / FTrees,ultra_large_search,BioSolveIT,n/a,NO,commercial,fast fuzzy similarity search over REAL Space,n/a,"no - SmallWorld/Arthor covers the need for free",skip
Deep Docking,ultra_large_search,"Gentile et al., Nat Protoc 2022",10.1038/s41596-021-00659-2,yes,MIT (jamesgleave/DD_protocol),ML surrogate for docking scores to triage billions,yes on throughput,NO - a faster surrogate for a scorer that does not rank here,skip
VirtualFlow,ultra_large_search,"Gorgulla et al., Nature 2020",10.1038/s41586-020-1917-5,yes,Apache-2.0,brute-force distributed docking at billion scale,yes on throughput,NO - same objection,skip
REINVENT4,generative_framework,"Loeffler et al., J Cheminform 2024",10.1186/s13321-024-00812-5,yes,Apache-2.0 (MolecularAI/REINVENT4),"Reinvent / LibInvent / LinkInvent / Mol2Mol + staged_learning RL",n/a,already installed - modes unused,in_use
Mol2Mol,reinvent_mode,"Tibo et al., Nat Commun 2024",10.1038/s41467-024-51672-4,yes,Apache-2.0 (in REINVENT4),transformer MMP-style local chemical space exploration around a seed,yes - exhaustive local coverage,"YES (cheap) - redundancy for T_2, immune to the ATRA/CReM radius-3 collapse (D0018)",DO_CHEAP
