question,item,result,evidence
identity,candidate_id,t1_db179d172dda,D1_21.parquet rank 10 / rank_synth 10
identity,smiles,COc1ccc(Oc2ccc([C@H]3O[P@@](=O)(O)OC3=O)c(O)c2O)c2c3ccccc3nc-2c1,as supplied
identity,inchikey,UMRXXUGKUOFFCG-OAQYLSRUSA-N,RDKit MolToInchiKey
identity,formula_mw_hac,"C22H16NO9P / 469.34 / 33",RDKit
identity,ring_sizes,"[5, 5, 6, 6, 7]",RDKit GetRingInfo SSSR
identity,tricyclic_core,cyclohepta[b]indole (6-5-7) NOT acridine (6-6-6),"core SMILES c1ccc2nc3ccccc3c-2cc1; InChIKey BOLFFYUDEVMACE-UHFFFAOYSA-N = PubChem CID 251959, CAS 246-06-0, 1-azabenz[b]azulene"
identity,core_is_acridine_isomer,"yes - both C13H9N, but 6-5-7 vs 6-6-6",RDKit CalcMolFormula on both
q1_retro,default_search,UNSOLVED,"100 iter / 15.9 s / 686 nodes / 200 routes / 0 solved; top_score 0.718"
q1_retro,deep_search,UNSOLVED,"3000 iter / 830 s / 30438 nodes / 7968 routes / 0 solved; top_score 0.792"
q1_retro,does_deeper_help,NO - it makes it worse,"blocking precursor grew from HAC 37 to HAC 43 (target is 33); deeper search added TBS/Bn/Ac/MOM protecting groups instead of disconnecting anything"
q1_retro,blocking_precursor_default,COc1ccnc2ccccc2c(B(O)O)c(Oc2ccc([C@H]3O[P@@](=O)(O)OC3=O)c(OC)c2O)cc1,"HAC 37 vs target 33; ECFP4 Tc to target 0.557; acyl phosphate INTACT"
q1_retro,blocking_precursor_deep,COc1c(Oc2ccc(OCc3ccccc3)ccnc3ccccc3c2B(O)O)ccc([C@H]2O[P@@](=O)(O)OC2=O)c1O,"HAC 43 vs target 33; ECFP4 Tc to target 0.512; acyl phosphate INTACT"
q1_retro,what_actually_blocks,the cyclic acyl phosphate is never disconnected,"183 of 197 distinct molecules across the 50 retained trees still carry [CX3](=O)[OX2][PX4]; the 14 that do not are commodity reagents (POCl3, Ac2O, mCPBA, BnBr, BnCl, AcCl, Me2SO4, NBS, MOMCl, acetone, 4-MeO-benzyl halides)"
q1_retro,one_precursor_short_is_misleading,YES,"every non-reagent leaf has ECFP4 Tc 0.44-0.84 to the target and HAC 32-44; 'one precursor short' here means 'the search stopped with the whole molecule undisconnected', not 'one step from done'"
q2_availability,pubchem_exact_stereo,NOT FOUND,PUG-REST /inchikey/UMRXXUGKUOFFCG-OAQYLSRUSA-N/cids -> PUGREST.NotFound
q2_availability,pubchem_exact_flat,NOT FOUND,PUG-REST /inchikey/UMRXXUGKUOFFCG-UHFFFAOYSA-N/cids -> PUGREST.NotFound
q2_availability,pubchem_same_connectivity,NOT FOUND,POST /fastidentity/smiles/cids?identity_type=same_connectivity -> no hits (note: same_skeleton is NOT a valid identity_type; 400)
q2_availability,zinc_stock_aizynth,NOT IN STOCK,"17,422,831-compound ZINC stock; target absent both with and without stereo"
q2_availability,nearest_purchasable_REAL,"Tc 0.506 max, Z4125281189 / PV-005774694422","Arthor similarity vs REAL-Database-22Q1 (4,492,114,676 cpds)"
q2_availability,nearest_purchasable_instock,"Tc 0.467 max, ZINC000104389565",Arthor vs In-Stock-19Q4-14.1M
q2_availability,nearest_purchasable_zinc20,"Tc 0.498 max, ZINC000608455879",Arthor vs ZINC20-ForSale-22Q1 (1.64B)
q2_availability,verdict,no purchasable analogue exists,"best Tanimoto ~0.51 over 4.5 billion REAL compounds; NONE of the top hits contains an acyl phosphate, a 6-5-7 core, or a catechol+phosphate - they match only on methoxyaryl/quinoline"
q2_availability,motif_in_pubchem,"acyl phosphate 5-ring: ~45 CIDs, all tiny/enumerated, ZERO PubMed xrefs","POST /fastsubstructure/smiles O=C1OP(=O)(O)OC1"
q3_literature,cyclohepta_b_indole_pin1,no precedent,bookworm: zero PubMed hits for cyclohepta[b]indole or iprindole with Pin1/PPIase
q3_literature,catechol_pains,"established liability class; EGCG is a genuine Pin1 binder AND textbook PAINS","PMID 20131845 (Baell PAINS), 26900761, 27617882 (catechol->o-quinone redox cycling), 27372509 (EGCG at Arg69/Cys113)"
q3_literature,acyl_phosphate_stability,"no drug or bench-stable probe precedent; closest measured analogues are ACYCLIC aminoacyl phosphate esters at hours-to-days","PMID 39419499 (JACS 2024); ATP-acyl-phosphate probes (PMID 24464431, 24187138) work BY being fast irreversible acylating agents"
q3_literature,p_stereogenic_synthesis,"hard, not routine, even for ProTides","PMID 38954764 (Imamoto Chem Rev 2024), 40963379 (Chem Soc Rev 2025), 39139291 (engineered biocatalyst needed for single diastereomer)"
q3_literature,phosphate_on_pin1,"mechanistically sound but a known permeability liability engineered AWAY from","PMID 25091930 - Pfizer replaced the phosphate with a carboxylate specifically to fix cell permeability; PMID 12721297 - free phosphate binds Pin1 only at mM"
q4_chemistry,cyclic_acyl_phosphate,CONFIRMED and fatal,"5-ring C(=O)-O-P(=O)(OH)-O-CH(Ar): a cyclic mixed anhydride of an alpha-hydroxy acid. Doubly activated - acyl phosphates are high-energy acyl donors, AND 5-membered cyclic phosphates hydrolyse ~10^6-10^8 faster than acyclic ones (Westheimer ring strain). Both hydrolysis modes relieve ring strain."
q4_chemistry,intramolecular_accelerant,"a phenol OH sits ORTHO to the ring-bearing carbon","catechol O at ring position adjacent to the phospholane attachment - an intramolecular nucleophile ideally placed to open the anhydride; makes the estimate worse, not better"
q4_chemistry,catechol,CONFIRMED,"already annotated by shared/alerts.py as catechol_A(92)|catechol|ortho_hydroquinone (4 alerts total) - but alert_gate_pass is True for ALL 4803 T_1 rows, so nothing acted on it"
q4_chemistry,stereogenic_phosphorus,CONFIRMED genuinely stereogenic,"P bears four different substituents: =O, OH, O-CH(Ar), O-C(=O). RDKit C11 (R) / P13 (R)."
q4_chemistry,ionisation,"acyl phosphate P-OH pKa ~1-2, anionic at pH 7.4, plus catechol","polar anion with the Pin1 phosphate pharmacophore - permeability is the same problem Pfizer engineered away from"
q4_chemistry,verdict,DO NOT PURSUE,"the docked entity cannot exist in the assay it was scored for; the binding pose was computed on a structure that hydrolyses"
q5_filters,sascore,"3.88 - the LOWEST (easiest) of T_1's top 10 (range 3.88-5.89)",D1_21.parquet
q5_filters,sascore_decomposition,"fragment score1 = +1.201 (fragments are COMMON), complexity score2 = -1.059, stereo penalty only -0.477","every ECFP4 radius-2 environment here is individually common; it is the COMBINATION that has no precedent, and a fragment-additive score cannot represent a combination"
q5_filters,sascore_blind_to_motif,"median SAscore of the 24 acyl-phosphate T_1 molecules = 4.38 vs 4.14 for all T_1",no discrimination
q5_filters,sascore_no_ring_size_term,"confirmed - the only ring term is a macrocycle flag at >8 atoms",a 7-membered ring is structurally invisible to SAscore
q5_filters,current_rules,"all 7 pass; 0 of T_1's top 10 is rejected",shared/synthesizability.py violations() == []
q5_filters,proposed_rule_acyl_phosphate,"ADOPTABLE - fires on target, kills 0 of 19 reference binders",SMARTS [CX3](=[OX1])[OX2][PX4]
q5_filters,proposed_rule_p_stereocentre,"ADOPTABLE - fires on target, kills 0 of 19 reference binders",RDKit FindPotentialStereo restricted to P
q5_filters,rejected_any_phosphorus,"KILLED - 4 binders (Wildemann, Guo-Pfizer, Liu-Pei, Jiang-Pei)",Pin1 is a phosphate-binding enzyme; banning P bans the pharmacophore
q5_filters,rejected_catechol_rule,KILLED - EGCG,as the two earlier proposals were
q5_filters,rejected_7ring_rule,NOT PROPOSED,"523/4803 T_1 (10.9%) and 4 of T_1's top 10 have a 7-ring - instrument it as a generator-health metric, but benzodiazepines/tropanes/colchicine forbid a hard rule"
q5_filters,rule_impact,"T_1 only: 24 acyl phosphate, 222 P-stereocentre of 4803. T_2/T_3/T_4: 0 and 0.","the two rules are free for the seeded approaches and catch a DiffSBDD-specific failure"
q5_filters,alert_gate_scope_bug,"alert_gate_pass is True for all 4803 T_1 rows","D0026: the gate only applies to approaches passing core_smarts, so T_1's PAINS/Brenk/NIH alerts are computed and then never acted on - the catechol was seen and ignored"
